"Jornada 1","04/10/2020",
"V.C.S. TROYA","V. Mirasol",
"Esc. Ripollet","UD. Andalucía",
"Sacachispas","Can Buxeres",
"UD. Lourdes A","V. Gladiador",
"La Creueta","UD. Lourdes B",
"V. Turó - Peira","V. Polinyà B",
"Sabadell Nord","V. Vilanova",
"Gornal-Derbi","V. Singuerlín",
"Jornada 2","11/10/2020",
"UD. Lourdes B","V.C.S. TROYA",
"UD. Andalucía","Gornal-Derbi",
"Can Buxeres","Esc. Ripollet",
"V. Gladiador","Sacachispas",
"V. Mirasol","UD. Lourdes A",
"V. Polinyà B","La Creueta",
"V. Vilanova","V. Turó - Peira",
"V. Singuerlín","Sabadell Nord",
"Jornada 3","18/10/2020",
"V.C.S. TROYA","V. Polinyà B",
"UD. Andalucía","Can Buxeres",
"Esc. Ripollet","V. Gladiador",
"Sacachispas","V. Mirasol",
"UD. Lourdes A","UD. Lourdes B",
"La Creueta","V. Vilanova",
"V. Turó - Peira","V. Singuerlín",
"Gornal-Derbi","Sabadell Nord",
"Jornada 4","25/10/2020",
"V. Vilanova","V.C.S. TROYA",
"Can Buxeres","Gornal-Derbi",
"V. Gladiador","UD. Andalucía",
"V. Mirasol","Esc. Ripollet",
"UD. Lourdes B","Sacachispas",
"V. Polinyà B","UD. Lourdes A",
"V. Singuerlín","La Creueta",
"Sabadell Nord","V. Turó - Peira",
"Jornada 5","01/11/2020",
"V.C.S. TROYA","V. Singuerlín",
"Can Buxeres","V. Gladiador",
"UD. Andalucía","V. Mirasol",
"Esc. Ripollet","UD. Lourdes B",
"Sacachispas","V. Polinyà B",
"UD. Lourdes A","V. Vilanova",
"La Creueta","Sabadell Nord",
"Gornal-Derbi","V. Turó - Peira",
"Jornada 6","08/11/2020",
"Sabadell Nord","V.C.S. TROYA",
"V. Gladiador","Gornal-Derbi",
"V. Mirasol","Can Buxeres",
"UD. Lourdes B","UD. Andalucía",
"V. Polinyà B","Esc. Ripollet",
"V. Vilanova","Sacachispas",
"V. Singuerlín","UD. Lourdes A",
"V. Turó - Peira","La Creueta",
"Jornada 7","15/11/2020",
"V.C.S. TROYA","V. Turó - Peira",
"V. Gladiador","V. Mirasol",
"Can Buxeres","UD. Lourdes B",
"UD. Andalucía","V. Polinyà B",
"Esc. Ripollet","V. Vilanova",
"Sacachispas","V. Singuerlín",
"UD. Lourdes A","Sabadell Nord",
"Gornal-Derbi","La Creueta",
"Jornada 8","22/11/2020",
"La Creueta","V.C.S. TROYA",
"V. Mirasol","Gornal-Derbi",
"UD. Lourdes B","V. Gladiador",
"V. Polinyà B","Can Buxeres",
"V. Vilanova","UD. Andalucía",
"V. Singuerlín","Esc. Ripollet",
"Sabadell Nord","Sacachispas",
"V. Turó - Peira","UD. Lourdes A",
"Jornada 9","29/11/2020",
"Gornal-Derbi","V.C.S. TROYA",
"V. Mirasol","UD. Lourdes B",
"V. Gladiador","V. Polinyà B",
"Can Buxeres","V. Vilanova",
"UD. Andalucía","V. Singuerlín",
"Esc. Ripollet","Sabadell Nord",
"Sacachispas","V. Turó - Peira",
"UD. Lourdes A","La Creueta",
"Jornada 10","06/12/2020",
"V.C.S. TROYA","UD. Lourdes A",
"UD. Lourdes B","Gornal-Derbi",
"V. Polinyà B","V. Mirasol",
"V. Vilanova","V. Gladiador",
"V. Singuerlín","Can Buxeres",
"Sabadell Nord","UD. Andalucía",
"V. Turó - Peira","Esc. Ripollet",
"La Creueta","Sacachispas",
"Jornada 11","13/12/2020",
"Sacachispas","V.C.S. TROYA",
"UD. Lourdes B","V. Polinyà B",
"V. Mirasol","V. Vilanova",
"V. Gladiador","V. Singuerlín",
"Can Buxeres","Sabadell Nord",
"UD. Andalucía","V. Turó - Peira",
"Esc. Ripollet","La Creueta",
"Gornal-Derbi","UD. Lourdes A",
"Jornada 12","20/12/2020",
"V.C.S. TROYA","Esc. Ripollet",
"V. Polinyà B","Gornal-Derbi",
"V. Vilanova","UD. Lourdes B",
"V. Singuerlín","V. Mirasol",
"Sabadell Nord","V. Gladiador",
"V. Turó - Peira","Can Buxeres",
"La Creueta","UD. Andalucía",
"UD. Lourdes A","Sacachispas",
"Jornada 13","10/01/2021",
"UD. Andalucía","V.C.S. TROYA",
"V. Polinyà B","V. Vilanova",
"UD. Lourdes B","V. Singuerlín",
"V. Mirasol","Sabadell Nord",
"V. Gladiador","V. Turó - Peira",
"Can Buxeres","La Creueta",
"Esc. Ripollet","UD. Lourdes A",
"Sacachispas","Gornal-Derbi",
"Jornada 14","17/01/2021",
"V.C.S. TROYA","Can Buxeres",
"Gornal-Derbi","V. Vilanova",
"V. Singuerlín","V. Polinyà B",
"Sabadell Nord","UD. Lourdes B",
"V. Turó - Peira","V. Mirasol",
"La Creueta","V. Gladiador",
"UD. Lourdes A","UD. Andalucía",
"Sacachispas","Esc. Ripollet",
"Jornada 15","24/01/2021",
"V. Gladiador","V.C.S. TROYA",
"V. Vilanova","V. Singuerlín",
"V. Polinyà B","Sabadell Nord",
"UD. Lourdes B","V. Turó - Peira",
"V. Mirasol","La Creueta",
"Can Buxeres","UD. Lourdes A",
"UD. Andalucía","Sacachispas",
"Esc. Ripollet","Gornal-Derbi",
"Jornada 16","31/01/2021",
"V. Mirasol","V.C.S. TROYA",
"UD. Andalucía","Esc. Ripollet",
"Can Buxeres","Sacachispas",
"V. Gladiador","UD. Lourdes A",
"UD. Lourdes B","La Creueta",
"V. Polinyà B","V. Turó - Peira",
"V. Vilanova","Sabadell Nord",
"V. Singuerlín","Gornal-Derbi",
"Jornada 17","07/02/2021",
"V.C.S. TROYA","UD. Lourdes B",
"Gornal-Derbi","UD. Andalucía",
"Esc. Ripollet","Can Buxeres",
"Sacachispas","V. Gladiador",
"UD. Lourdes A","V. Mirasol",
"La Creueta","V. Polinyà B",
"V. Turó - Peira","V. Vilanova",
"Sabadell Nord","V. Singuerlín",
"Jornada 18","14/02/2021",
"V. Polinyà B","V.C.S. TROYA",
"Can Buxeres","UD. Andalucía",
"V. Gladiador","Esc. Ripollet",
"V. Mirasol","Sacachispas",
"UD. Lourdes B","UD. Lourdes A",
"V. Vilanova","La Creueta",
"V. Singuerlín","V. Turó - Peira",
"Sabadell Nord","Gornal-Derbi",
"Jornada 19","21/02/2021",
"V.C.S. TROYA","V. Vilanova",
"Gornal-Derbi","Can Buxeres",
"UD. Andalucía","V. Gladiador",
"Esc. Ripollet","V. Mirasol",
"Sacachispas","UD. Lourdes B",
"UD. Lourdes A","V. Polinyà B",
"La Creueta","V. Singuerlín",
"V. Turó - Peira","Sabadell Nord",
"Jornada 20","28/02/2021",
"V. Singuerlín","V.C.S. TROYA",
"V. Gladiador","Can Buxeres",
"V. Mirasol","UD. Andalucía",
"UD. Lourdes B","Esc. Ripollet",
"V. Polinyà B","Sacachispas",
"V. Vilanova","UD. Lourdes A",
"Sabadell Nord","La Creueta",
"V. Turó - Peira","Gornal-Derbi",
"Jornada 21","07/03/2021",
"V.C.S. TROYA","Sabadell Nord",
"Gornal-Derbi","V. Gladiador",
"Can Buxeres","V. Mirasol",
"UD. Andalucía","UD. Lourdes B",
"Esc. Ripollet","V. Polinyà B",
"Sacachispas","V. Vilanova",
"UD. Lourdes A","V. Singuerlín",
"La Creueta","V. Turó - Peira",
"Jornada 22","14/03/2021",
"V. Turó - Peira","V.C.S. TROYA",
"V. Mirasol","V. Gladiador",
"UD. Lourdes B","Can Buxeres",
"V. Polinyà B","UD. Andalucía",
"V. Vilanova","Esc. Ripollet",
"V. Singuerlín","Sacachispas",
"Sabadell Nord","UD. Lourdes A",
"La Creueta","Gornal-Derbi",
"Jornada 23","21/03/2021",
"V.C.S. TROYA","La Creueta",
"Gornal-Derbi","V. Mirasol",
"V. Gladiador","UD. Lourdes B",
"Can Buxeres","V. Polinyà B",
"UD. Andalucía","V. Vilanova",
"Esc. Ripollet","V. Singuerlín",
"Sacachispas","Sabadell Nord",
"UD. Lourdes A","V. Turó - Peira",
"Jornada 24","28/03/2021",
"V.C.S. TROYA","Gornal-Derbi",
"UD. Lourdes B","V. Mirasol",
"V. Polinyà B","V. Gladiador",
"V. Vilanova","Can Buxeres",
"V. Singuerlín","UD. Andalucía",
"Sabadell Nord","Esc. Ripollet",
"V. Turó - Peira","Sacachispas",
"La Creueta","UD. Lourdes A",
"Jornada 25","11/04/2021",
"UD. Lourdes A","V.C.S. TROYA",
"Gornal-Derbi","UD. Lourdes B",
"V. Mirasol","V. Polinyà B",
"V. Gladiador","V. Vilanova",
"Can Buxeres","V. Singuerlín",
"UD. Andalucía","Sabadell Nord",
"Esc. Ripollet","V. Turó - Peira",
"Sacachispas","La Creueta",
"Jornada 26","18/04/2021",
"V.C.S. TROYA","Sacachispas",
"V. Polinyà B","UD. Lourdes B",
"V. Vilanova","V. Mirasol",
"V. Singuerlín","V. Gladiador",
"Sabadell Nord","Can Buxeres",
"V. Turó - Peira","UD. Andalucía",
"La Creueta","Esc. Ripollet",
"UD. Lourdes A","Gornal-Derbi",
"Jornada 27","25/04/2021",
"Esc. Ripollet","V.C.S. TROYA",
"Gornal-Derbi","V. Polinyà B",
"UD. Lourdes B","V. Vilanova",
"V. Mirasol","V. Singuerlín",
"V. Gladiador","Sabadell Nord",
"Can Buxeres","V. Turó - Peira",
"UD. Andalucía","La Creueta",
"Sacachispas","UD. Lourdes A",
"Jornada 28","02/05/2021",
"V.C.S. TROYA","UD. Andalucía",
"V. Vilanova","V. Polinyà B",
"V. Singuerlín","UD. Lourdes B",
"Sabadell Nord","V. Mirasol",
"V. Turó - Peira","V. Gladiador",
"La Creueta","Can Buxeres",
"UD. Lourdes A","Esc. Ripollet",
"Gornal-Derbi","Sacachispas",
"Jornada 29","09/05/2021",
"Can Buxeres","V.C.S. TROYA",
"V. Vilanova","Gornal-Derbi",
"V. Polinyà B","V. Singuerlín",
"UD. Lourdes B","Sabadell Nord",
"V. Mirasol","V. Turó - Peira",
"V. Gladiador","La Creueta",
"UD. Andalucía","UD. Lourdes A",
"Esc. Ripollet","Sacachispas",
"Jornada 30","16/05/2021",
"V.C.S. TROYA","V. Gladiador",
"V. Singuerlín","V. Vilanova",
"Sabadell Nord","V. Polinyà B",
"V. Turó - Peira","UD. Lourdes B",
"La Creueta","V. Mirasol",
"UD. Lourdes A","Can Buxeres",
"Sacachispas","UD. Andalucía",
"Gornal-Derbi","Esc. Ripollet"
